Date|Subject|Email|Name|Hour|Weekday
2022-10-07 01:49:23+00:00|Welcome to SCRUMstudy - Membership Details|noreply@scrumstudy.com|SCRUMstudy|1h-2h|Friday
2022-10-07 01:48:25+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|1h-2h|Friday
2022-10-07 07:16:37+05:30|Welcome to SCRUMstudy - Verify your email address|noreply@scrumstudy.com|SCRUMstudy|7h-8h|Friday
2022-10-07 07:16:38+05:30|Enrollment in Scrum Webinar and Virtual Instructor-led SFC Training |noreply@scrumstudy.com|SCRUMstudy|7h-8h|Friday
2022-09-17 18:43:49-07:00|Notificación para ti: 1 notificación nueva|reminders@facebookmail.com|Facebook|18h-19h|Saturday
2022-09-17 01:00:04+00:00|Escucha lo que |no-reply@spotify.com|Spotify|1h-2h|Saturday
2022-09-10 01:52:36+00:00|Updated Developer Terms of Service and Policy|noreply@discordapp.com|Discord|1h-2h|Saturday
2022-09-05 17:13:17+00:00|Jairo, ¿estás listo para el Prime Week 👑?|rappi@hello.rappi.com.pe|Rappi|17h-18h|Monday
2022-08-28 22:10:52-07:00|Vecinos de San Miguel (Lima PERU) y 7 grupos más son nuevas sugerencias para ti|groupupdates@facebookmail.com|Facebook|22h-23h|Sunday
2022-08-02 22:44:18+00:00|Jairo, te dejamos algunas recomendaciones 🥳🤩|rappi@hello.rappi.com.pe|Rappi|22h-23h|Tuesday
2022-07-29 19:07:31+00:00|Sorprende a quien quieras enviando este regalo. |no-reply@spotify.com|Spotify|19h-20h|Friday
2022-07-22 17:09:40+00:00|¡Regala|no-reply@spotify.com|Spotify|17h-18h|Friday
2022-07-14 15:55:39-07:00|Actualizamos la Política de privacidad y las Condiciones del servicio de Meta|notification@facebookmail.com|Facebook|15h-16h|Thursday
2022-06-23 18:53:54+00:00|Fusión está aquí|no-reply@spotify.com|Spotify|18h-19h|Thursday
2022-06-17 20:58:59+00:00|Sorprende a |no-reply@spotify.com|Spotify|20h-21h|Friday
2022-06-09 15:04:36+00:00|¡Regálale a papá|no-reply@spotify.com|Spotify|15h-16h|Thursday
2022-06-01 21:16:03+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|21h-22h|Wednesday
2022-05-26 13:58:39+00:00|Jairo, ¡SOLO POR HOY 26 MAYO! Hora loca TURBO 🕒🧡|rappi@hello.rappi.com.pe|Rappi|13h-14h|Thursday
2022-05-21 18:03:13-07:00|Jairo, tienes 1 notificación nueva|reminders@facebookmail.com|Facebook|18h-19h|Saturday
2022-05-13 21:33:53-07:00|Vecinos de San Miguel (Lima PERU) y 7 grupos más son nuevas sugerencias para ti|groupupdates@facebookmail.com|Facebook|21h-22h|Friday
2022-05-06 22:06:18+00:00|El nuevo |no-reply@spotify.com|Spotify|22h-23h|Friday
2022-05-05 22:41:20+00:00|El mejor regalo para |no-reply@spotify.com|Spotify|22h-23h|Thursday
2022-05-04 14:44:56+00:00|Mix familiar se despide de Spotify|no-reply@spotify.com|Spotify|14h-15h|Wednesday
2022-04-29 17:21:00-07:00|Jairo, tienes 3 notificaciones nuevas|reminders@facebookmail.com|Facebook|17h-18h|Friday
2022-04-28 19:50:54-07:00|Jairo, tienes 3 notificaciones nuevas|reminders@facebookmail.com|Facebook|19h-20h|Thursday
2022-04-27 19:16:43-07:00|Jairo, tienes 3 notificaciones nuevas|reminders@facebookmail.com|Facebook|19h-20h|Wednesday
2022-04-27 23:04:36+00:00|¡Regálale a mamá|no-reply@spotify.com|Spotify|23h-24h|Wednesday
2022-04-27 12:13:25-04:00|Mejoramos la velocidad mínima garantizada de tu Internet Hogar|infoclientes@telefonica.com|Movistar|12h-13h|Wednesday
2022-04-25 19:33:51-07:00|Jairo, tienes 3 notificaciones nuevas|reminders@facebookmail.com|Facebook|19h-20h|Monday
2022-04-25 21:05:33+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|21h-22h|Monday
2022-04-24 09:06:03-07:00|Jairo: el siguiente paso que debes realizar en tu Windows es confirmar la configuración de tu cuenta de Google|google-noreply@google.com|The Google team|9h-10h|Sunday
2022-04-24 16:04:57+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|16h-17h|Sunday
2022-04-22 21:08:59-07:00|Jairo, tienes 3 notificaciones nuevas|reminders@facebookmail.com|Facebook|21h-22h|Friday
2022-04-22 19:32:18-07:00|Jairo, tienes 3 notificaciones nuevas|reminders@facebookmail.com|Facebook|19h-20h|Friday
2022-04-22 17:27:22-07:00|Jairo, tienes 3 notificaciones nuevas|reminders@facebookmail.com|Facebook|17h-18h|Friday
2022-04-19 20:37:51+00:00|Entrega de Laptop Sociedad Minera Cerro Verde.|alozanor@fmi.com|LOZANO ROCHA, ALEJANDRO SEBASTIAN|20h-21h|Tuesday
2022-04-11 01:12:17+00:00|Aviso: tu cuenta de MEGA está inactiva|noreply@mega.nz|MEGA|1h-2h|Monday
2022-04-09 00:47:19+00:00|Certificado de Practicas|abustinz@fmi.com|BUSTINZA ALBARRACIN, ANDREA CECILIA|0h-1h|Saturday
2022-04-04 17:01:26-07:00|Jairo, tienes 2 notificaciones nuevas|reminders@facebookmail.com|Facebook|17h-18h|Monday
2022-04-04 15:19:15-07:00|ISRAEL TIERRA BENDITA y 7 grupos más son nuevas sugerencias para ti|groupupdates@facebookmail.com|Facebook|15h-16h|Monday
2022-03-17 19:23:40-07:00|Jairo, tienes 10 notificaciones nuevas|reminders@facebookmail.com|Facebook|19h-20h|Thursday
2022-03-12 08:53:22-08:00|Jairo, tienes 10 notificaciones nuevas|reminders@facebookmail.com|Facebook|8h-9h|Saturday
2022-03-11 13:29:29+00:00|Aviso: tu cuenta de MEGA está inactiva|noreply@mega.nz|MEGA|13h-14h|Friday
2022-03-10 15:11:37-08:00|✅ Jairo, termina de configurar tu dispositivo Apple iPhone con las últimas aplicaciones de Google|no-reply@google.com|Google|15h-16h|Thursday
2022-03-10 23:10:20+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|23h-24h|Thursday
2022-03-03 17:10:42-08:00|Jairo, tienes 9 notificaciones nuevas|reminders@facebookmail.com|Facebook|17h-18h|Thursday
2022-03-01 19:45:05-04:00|Con Movistar Play disfruta de tus programas favoritos donde y como quieras 📱|infoclientes@telefonica.com|Movistar|19h-20h|Tuesday
2022-03-01 20:05:28+00:00|Próximas|notifications@discord.com|Discord|20h-21h|Tuesday
2022-02-25 11:14:25-08:00|Jairo, tienes 8 notificaciones nuevas|reminders@facebookmail.com|Facebook|11h-12h|Friday
2022-02-23 18:36:02-08:00|Jairo, tienes 8 notificaciones nuevas|reminders@facebookmail.com|Facebook|18h-19h|Wednesday
2022-02-19 18:44:45-08:00|Jairo, tienes 7 notificaciones nuevas|reminders@facebookmail.com|Facebook|18h-19h|Saturday
2022-02-07 13:05:41+00:00|¡MEGA te echa de menos!|noreply@mega.nz|MEGA|13h-14h|Monday
2022-01-24 21:22:58-05:00|Confirma tu Registro|atencionenlinea@movistar.com.pe||21h-22h|Monday
2022-01-24 18:31:13-08:00|✅ Jairo, termina de configurar tu iPhone 23 con las últimas aplicaciones de Google|no-reply@google.com|Google|18h-19h|Monday
2022-01-25 02:30:07+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|2h-3h|Tuesday
2022-01-24 18:26:46-08:00|Jairo: el siguiente paso que debes realizar en tu Windows es confirmar la configuración de tu cuenta de Google|google-noreply@google.com|The Google team|18h-19h|Monday
2022-01-25 02:25:39+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|2h-3h|Tuesday
2022-01-09 04:55:04+00:00|👀 Última|no-reply@spotify.com|Spotify|4h-5h|Sunday
2022-01-05 23:30:14+00:00|¡MEGA te echa de menos!|noreply@mega.nz|MEGA|23h-24h|Wednesday
2021-12-08 23:42:53+00:00|Compra productos de Tu 2021 en Spotify|no-reply@spotify.com|Spotify|23h-24h|Wednesday
2021-12-07 16:00:01+00:00|Accede a |no-reply@spotify.com|Spotify|16h-17h|Tuesday
2021-12-03 21:24:05+00:00|¡MEGA te echa de menos!|noreply@mega.nz|MEGA|21h-22h|Friday
2021-12-02 17:10:21+00:00|Tu 2021 en Spotify ya |no-reply@spotify.com|Spotify|17h-18h|Thursday
2021-11-29 14:17:49-08:00|Obtén más información sobre nuestros Términos del Servicio actualizados|noreply-utos@google.com|Google|14h-15h|Monday
2021-11-28 10:50:25-08:00|"Cambios en los Términos del Servicio de YouTube
"|no-reply@youtube.com|YouTube|10h-11h|Sunday
2021-11-19 15:43:53+00:00|¡Tu 2021 ya casi está aquí!|no-reply@spotify.com|Spotify|15h-16h|Friday
2021-11-09 13:36:29+00:00|Ha caducado un logro de MEGA|notification@mega.nz|MEGA|13h-14h|Tuesday
2021-11-08 15:55:33+00:00|¡Ya|no-reply@spotify.com|Spotify|15h-16h|Monday
2021-10-25 15:37:58+00:00|INFORMACIÒN IMPORTANTE DE SEGUROS MAPFRE|PINTOB1@mapfre.com.pe|Pinto Bonilla, Geymy Julissa|15h-16h|Monday
2021-10-24 15:02:04-05:00|Fastero — Conocé a Nicolás Lucero (Médico que incluso con sus horarios construyó un nuevo cuerpo en 8 meses)|guido@fastingshape.com|Fasting Shape|15h-16h|Sunday
2021-10-13 12:13:24-05:00|Fastero — Descubrí cómo ayudé a Tomás a conseguir este cuerpo en 5 meses|guido@fastingshape.com|Fasting Shape|12h-13h|Wednesday
2021-09-30 12:02:23-05:00|Últimas 6 horas de la promoción primavera|guido@fastingshape.com|Fasting Shape|12h-13h|Thursday
2021-09-29 17:05:43-05:00|Fastero — Descubrí lo que 3 meses pueden hacer por tu cuerpo (+testimonio)|guido@fastingshape.com|Fasting Shape|17h-18h|Wednesday
2021-09-28 15:33:42-05:00|Fastero — Conocé a Lucas (de dieta estricta al método fastero)|guido@fastingshape.com|Fasting Shape|15h-16h|Tuesday
2021-09-27 15:31:27-05:00|Fastero — Etapa de definición para el verano?|guido@fastingshape.com|Fasting Shape|15h-16h|Monday
2021-07-14 08:48:46-05:00|Promo Calistenia Progresiva 2.0 (Válido por 72hs)|guido@fastingshape.com|Fasting Shape|8h-9h|Wednesday
2021-06-24 13:44:04+00:00|Semana da Farmacia |rappi@hello.rappi.com.mx|Rappi|13h-14h|Thursday
2021-05-13 13:28:30+00:00|Último paso para activar tu cuenta de MEGA|welcome@mega.nz|MEGA|13h-14h|Thursday
2021-05-06 04:17:48+00:00|Convenio|achavezm@fmi.com|CHAVEZ MONROY, ARTHUR JEREMY|4h-5h|Thursday
2021-04-24 03:40:36+00:00|Tienes música nueva de Maluma y de otros artistas que te encantan en tu Radar de Novedades.|no-reply@spotify.com|Spotify|3h-4h|Saturday
2021-04-09 18:53:09+00:00|Capacitacin Virtual - Microsoft Teams|rnunezso@fmi.com|NUEZ SOBENES, RENATA|18h-19h|Friday
2021-04-08 15:57:22+00:00|Capacitacin Virtual - Microsoft Teams|rnunezso@fmi.com|NUEZ SOBENES, RENATA|15h-16h|Thursday
2021-04-07 05:37:19+00:00|Firma de Convenio de Prcticas - SOCIEDAD MINERA CERRO VERDE|achavezm@fmi.com|CHAVEZ MONROY, ARTHUR JEREMY|5h-6h|Wednesday
2021-04-05 20:32:01+00:00|Induccin Programa de Becarios 2021|abustinz@fmi.com|BUSTINZA ALBARRACIN, ANDREA CECILIA|20h-21h|Monday
2021-04-05 12:35:14+00:00|Inducción General de Seguridad - SMCV Becarios 2021|achavezm@fmi.com|CHAVEZ MONROY, ARTHUR JEREMY|12h-13h|Monday
2021-04-04 23:58:59+00:00|Inducción General de Seguridad - SMCV Becarios 2021|achavezm@fmi.com|CHAVEZ MONROY, ARTHUR JEREMY|23h-24h|Sunday
2021-03-30 19:46:54+00:00|PRUEBA DE ENTRADA PARA INGRESANTES (SEDE LIMA): TECSUP|notifications@instructure.com|Tecsup Virtual|19h-20h|Tuesday
2021-03-30 18:20:11+00:00|Bienvenido - Programa de Becarios 2021 - Sociedad Minera Cerro Verde|achavezm@fmi.com|CHAVEZ MONROY, ARTHUR JEREMY|18h-19h|Tuesday
2021-03-15 14:48:56+00:00|Evaluacin Medica (LIMA) - SMCV|achavezm@fmi.com|CHAVEZ MONROY, ARTHUR JEREMY|14h-15h|Monday
2021-01-19 23:51:27+00:00|Invitacin a Etapa de Entrevista - Programa de Becarios 2021 Cerro Verde|_72b00@fmi.com|CVE - Seleccion de Personal|23h-24h|Tuesday
2021-01-16 16:19:37+00:00|Notificaciones recientes de Canvas|notifications@instructure.com|Tecsup Virtual|16h-17h|Saturday
2021-01-09 04:11:19+00:00|Proceso de |becarios_cerroverde@tecsup.edu.pe|Becarios SMCV|4h-5h|Saturday
2021-01-08 22:00:00+00:00|Tienes música nueva de Manuel Turizo y de otros artistas que te encantan en tu Radar de Novedades.|no-reply@spotify.com|Spotify|22h-23h|Friday
2021-01-07 19:37:11+00:00|Invitación al curso|notifications@instructure.com|Tecsup Virtual|19h-20h|Thursday
2021-01-05 22:50:05+00:00|Invitación al curso|notifications@instructure.com|Tecsup Virtual|22h-23h|Tuesday
2021-01-05 04:40:18+00:00|Proceso de |becarios_cerroverde@tecsup.edu.pe|Becarios SMCV|4h-5h|Tuesday
2021-01-04 23:02:40+00:00|Programa de Becarios 2021 - SMCV|_72b00@fmi.com|CVE - Seleccion de Personal|23h-24h|Monday
