Date,From,Subject
"Tue, 29 Nov 2022 13:40:34 +0000","""SCRUMstudy"" <support@scrumstudycertifications.org>",=?UTF-8?Q?=F0=9F=93=A3_Jairo=2C_Attend_the_Free_Scrum_Webinar_=26_get_SFC?= =?UTF-8?Q?=E2=84=A2_certified?=
"Sat, 26 Nov 2022 14:57:32 +0000 (UTC)",Spotify <no-reply@spotify.com>,=?UTF-8?B?wr9Ub2Rv?= listo para Mi 2022 en Spotify?
"Thu, 24 Nov 2022 11:02:47 -0400 (VET)",Movistar <infoclientes@telefonica.com>,"=?UTF-8?Q?=E2=9A=BD=C2=A1Descuentos_para_vivi?=
 =?UTF-8?Q?r_lo_mejor_del_f=C3=BAtbol!=E2=9A=A1?="
"Sun, 13 Nov 2022 21:21:05 +0000",MEGA <noreply@mega.nz>,=?utf-8?B?wqFNRUdBIHRlIGVjaGEgZGUgbWVub3Mh?=
"Sun, 6 Nov 2022 12:17:58 -0800","""Facebook"" <security@facebookmail.com>","=?UTF-8?B?QWxlcnRhIGRlIGluaWNp?=
 =?UTF-8?B?byBkZSBzZXNpw7NuIGRlIA==?=
 =?UTF-8?B?RmFjZWJvb2sgZm9yIGlQ?=
 =?UTF-8?B?aG9uZQ==?="
"Mon, 31 Oct 2022 14:35:27 +0000","""SCRUMstudy"" <support@scrumstudycertifications.org>",=?UTF-8?Q?=F0=9F=93=A3_Jairo=2C_Attend_the_Free_Scrum_Webinar_=26_get_SFC?= =?UTF-8?Q?=E2=84=A2_certified?=
"Wed, 26 Oct 2022 12:29:39 -0400 (VET)",Movistar <infoclientes@telefonica.com>,"=?UTF-8?Q?=F0=9F=8D=BF=F0=9F=92=BB=C2=A1Completa_tu_D=C3=BAo_T?=
 =?UTF-8?Q?V+Internet_y_AHORRA_S/4?=
 =?UTF-8?Q?0_cada_mes!_=F0=9F=92=BB=F0=9F=8D=BF_P=C3=ADdel?=
 =?UTF-8?Q?o_por_solo_S/117x3meses?="
"Tue, 25 Oct 2022 22:32:56 +0000","""Rappi"" <rappi@hello.rappi.com.pe>","=?utf-8?B?ICAgIEphaXJvLCB0ZSBkZWphbW9zIGFsZ3VuYXMgcmVjb21lbmRh?=
	=?utf-8?B?Y2lvbmVzIPCfpbPwn6SpIA==?="
"Fri, 14 Oct 2022 22:00:50 +0000","""SCRUMstudy"" <support@scrumstudycertifications.org>",=?UTF-8?Q?Jairo=2C_SFC=E2=84=A2_Webinar_is_live_=E2=96=B6=EF=B8=8F!_Pleas?= =?UTF-8?Q?e_join_in?=
"Thu, 13 Oct 2022 23:00:15 +0000","""SCRUMstudy"" <support@scrumstudycertifications.org>",=?UTF-8?Q?=E2=8C=9A_The_wait_is_almost_over=2C_1-day_left_for_the_SCRUMst?= =?UTF-8?Q?udy_SFC=E2=84=A2_webinar!?=
"Thu, 06 Oct 2022 18:49:26 -0700",The Google Account Team <google-noreply@google.com>,"=?UTF-8?Q?Jairo=2C_el_siguiente_paso_que_debes_realizar_en_tu_di?=
	=?UTF-8?Q?spositivo_Windows_es_confirmar_la_configuraci=C3=B3n_de_tu_cuent?=
	=?UTF-8?Q?a_de_Google?="
"Fri, 07 Oct 2022 01:49:24 +0000",SCRUMstudy <noreply@scrumstudy.com>,"Hi Jairo , Join SCRUMstudy LinkedIn Group; Share with 130,000 + Members!"
"Fri, 07 Oct 2022 01:49:23 +0000",SCRUMstudy <noreply@scrumstudy.com>,Welcome to SCRUMstudy - Membership Details
"Fri, 07 Oct 2022 01:48:25 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
7 Oct 2022 07:16:37 +0530,"""SCRUMstudy"" <noreply@scrumstudy.com>",Welcome to SCRUMstudy - Verify your email address
7 Oct 2022 07:16:38 +0530,"""SCRUMstudy"" <noreply@scrumstudy.com>",Enrollment in Scrum Webinar and Virtual Instructor-led SFC Training 
"Sat, 17 Sep 2022 18:43:49 -0700","""Facebook"" <reminders@facebookmail.com>","=?UTF-8?B?Tm90aWZpY2FjacOzbiBwYQ==?=
 =?UTF-8?B?cmEgdGk6IDEgbm90aWZp?=
 =?UTF-8?B?Y2FjacOzbiBudWV2YQ==?="
"Sat, 17 Sep 2022 01:00:04 +0000 (UTC)",Spotify <no-reply@spotify.com>,Escucha lo que =?UTF-8?Q?est=C3=A1_sonando_en_tu_pa=C3=ADs?=
"Sat, 10 Sep 2022 01:52:36 +0000 (UTC)",Discord <noreply@discordapp.com>,Updated Developer Terms of Service and Policy
"Mon, 05 Sep 2022 17:13:17 +0000","""Rappi"" <rappi@hello.rappi.com.pe>","=?utf-8?B?SmFpcm8sIMK/ZXN0w6FzIGxpc3RvIHBhcmEgZWwgUHJpbWUgV2Vl?=
	=?utf-8?B?ayDwn5GRPw==?="
"Sun, 28 Aug 2022 22:10:52 -0700","""Facebook"" <groupupdates@facebookmail.com>","=?UTF-8?B?VmVjaW5vcyBkZSBTYW4g?=
 =?UTF-8?B?TWlndWVsIChMaW1hIFBF?=
 =?UTF-8?B?UlUpIHkgNyBncnVwb3Mg?=
 =?UTF-8?B?bcOhcyBzb24gbnVldmFzIA==?=
 =?UTF-8?B?c3VnZXJlbmNpYXMgcGFy?=
 =?UTF-8?B?YSB0aQ==?="
"Tue, 02 Aug 2022 22:44:18 +0000","""Rappi"" <rappi@hello.rappi.com.pe>","=?utf-8?B?SmFpcm8sIHRlIGRlamFtb3MgYWxndW5hcyByZWNvbWVuZGFjaW9u?=
	=?utf-8?B?ZXMg8J+ls/CfpKk=?="
"Fri, 29 Jul 2022 19:07:31 +0000 (UTC)",Spotify <no-reply@spotify.com>,"Sorprende a quien quieras enviando este regalo. =?UTF-8?B?wqFObw==?=
 tiene costo para ti!"
"Fri, 22 Jul 2022 17:09:40 +0000 (UTC)",Spotify <no-reply@spotify.com>,=?UTF-8?B?wqFSZWdhbGE=?= Spotify Premium! Corre por nuestra cuenta.
"Thu, 14 Jul 2022 15:55:39 -0700","""Facebook"" <notification@facebookmail.com>","=?UTF-8?B?QWN0dWFsaXphbW9zIGxh?=
 =?UTF-8?B?IFBvbMOtdGljYSBkZSBwcg==?=
 =?UTF-8?B?aXZhY2lkYWQgeSBsYXMg?=
 =?UTF-8?B?Q29uZGljaW9uZXMgZGVs?=
 =?UTF-8?B?IHNlcnZpY2lvIGRlIE1l?=
 =?UTF-8?B?dGE=?="
"Thu, 23 Jun 2022 18:53:54 +0000 (UTC)",Spotify <no-reply@spotify.com>,=?UTF-8?B?RnVzacOzbiBlc3TDoSBhcXXDrQ==?=
"Fri, 17 Jun 2022 20:58:59 +0000 (UTC)",Spotify <no-reply@spotify.com>,"Sorprende a =?UTF-8?B?cGFww6E=?= con 2 meses gratis de Spotify
 Premium."
"Thu, 09 Jun 2022 15:04:36 +0000 (UTC)",Spotify <no-reply@spotify.com>,"=?UTF-8?B?wqFSZWfDoWxhbGUgYSBwYXDDoQ==?= 2 meses gratis de Spotify
 Premium!"
"Wed, 01 Jun 2022 21:16:03 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Thu, 26 May 2022 13:58:39 +0000","""Rappi"" <rappi@hello.rappi.com.pe>","=?utf-8?B?SmFpcm8sIMKhU09MTyBQT1IgSE9ZIDI2IE1BWU8hIEhvcmEgbG9j?=
	=?utf-8?B?YSBUVVJCTyDwn5WS8J+noQ==?="
"Sat, 21 May 2022 18:03:13 -0700","""Facebook"" <reminders@facebookmail.com>","=?UTF-8?B?SmFpcm8sIHRpZW5lcyAx?=
 =?UTF-8?B?IG5vdGlmaWNhY2nDs24gbg==?=
 =?UTF-8?B?dWV2YQ==?="
"Fri, 13 May 2022 21:33:53 -0700","""Facebook"" <groupupdates@facebookmail.com>","=?UTF-8?B?VmVjaW5vcyBkZSBTYW4g?=
 =?UTF-8?B?TWlndWVsIChMaW1hIFBF?=
 =?UTF-8?B?UlUpIHkgNyBncnVwb3Mg?=
 =?UTF-8?B?bcOhcyBzb24gbnVldmFzIA==?=
 =?UTF-8?B?c3VnZXJlbmNpYXMgcGFy?=
 =?UTF-8?B?YSB0aQ==?="
"Fri, 06 May 2022 22:06:18 +0000 (UTC)",Spotify <no-reply@spotify.com>,El nuevo =?UTF-8?B?w6FsYnVt?= de Bad Bunny!
"Thu, 05 May 2022 22:41:20 +0000 (UTC)",Spotify <no-reply@spotify.com>,El mejor regalo para =?UTF-8?B?bWFtw6E6?= 2 meses gratis de Premium.
"Wed, 04 May 2022 14:44:56 +0000 (UTC)",Spotify <no-reply@spotify.com>,Mix familiar se despide de Spotify
"Fri, 29 Apr 2022 17:21:00 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 3 notificaciones nuevas"
"Thu, 28 Apr 2022 19:50:54 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 3 notificaciones nuevas"
"Wed, 27 Apr 2022 19:16:43 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 3 notificaciones nuevas"
"Wed, 27 Apr 2022 23:04:36 +0000 (UTC)",Spotify <no-reply@spotify.com>,"=?UTF-8?B?wqFSZWfDoWxhbGUgYSBtYW3DoQ==?= 2 meses gratis de Spotify
 Premium!"
"Wed, 27 Apr 2022 12:13:25 -0400 (VET)",Movistar <infoclientes@telefonica.com>,"=?UTF-8?Q?Mejoramos_la_velocidad_m=C3=ADnima_g?=
 =?UTF-8?Q?arantizada_de_tu_Internet_Hogar?="
"Mon, 25 Apr 2022 19:33:51 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 3 notificaciones nuevas"
"Mon, 25 Apr 2022 21:05:33 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Sun, 24 Apr 2022 09:06:03 -0700",The Google team <google-noreply@google.com>,"=?UTF-8?Q?Jairo=3A_el_siguiente_paso_que_debes_realizar_en_tu_Wi?=
	=?UTF-8?Q?ndows_es_confirmar_la_configuraci=C3=B3n_de_tu_cuenta_de_Google?="
"Sun, 24 Apr 2022 16:04:57 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Fri, 22 Apr 2022 21:08:59 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 3 notificaciones nuevas"
"Fri, 22 Apr 2022 19:32:18 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 3 notificaciones nuevas"
"Fri, 22 Apr 2022 17:27:22 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 3 notificaciones nuevas"
"Tue, 19 Apr 2022 20:37:51 +0000","""LOZANO ROCHA, ALEJANDRO SEBASTIAN"" <alozanor@fmi.com>",Entrega de Laptop Sociedad Minera Cerro Verde.
"Mon, 11 Apr 2022 01:12:17 +0000",MEGA <noreply@mega.nz>,=?utf-8?B?QXZpc286IHR1IGN1ZW50YSBkZSBNRUdBIGVzdMOhIGluYWN0aXZh?=
"Sat, 9 Apr 2022 00:47:19 +0000","""BUSTINZA ALBARRACIN, ANDREA CECILIA"" <abustinz@fmi.com>",Certificado de Practicas
"Mon, 4 Apr 2022 17:01:26 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 2 notificaciones nuevas"
"Mon, 4 Apr 2022 15:19:15 -0700","""Facebook"" <groupupdates@facebookmail.com>","=?UTF-8?B?SVNSQUVMIFRJRVJSQSBC?=
 =?UTF-8?B?RU5ESVRBIHkgNyBncnVw?=
 =?UTF-8?B?b3MgbcOhcyBzb24gbnVldg==?=
 =?UTF-8?B?YXMgc3VnZXJlbmNpYXMg?=
 =?UTF-8?B?cGFyYSB0aQ==?="
"Thu, 17 Mar 2022 19:23:40 -0700","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 10 notificaciones nuevas"
"Sat, 12 Mar 2022 08:53:22 -0800","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 10 notificaciones nuevas"
"Fri, 11 Mar 2022 13:29:29 +0000",MEGA <noreply@mega.nz>,=?utf-8?B?QXZpc286IHR1IGN1ZW50YSBkZSBNRUdBIGVzdMOhIGluYWN0aXZh?=
"Thu, 10 Mar 2022 15:11:37 -0800",Google <no-reply@google.com>,"=?UTF-8?Q?=E2=9C=85_Jairo=2C_termina_de_configurar_tu_dispositivo_Appl?=
	=?UTF-8?Q?e_iPhone_con_las_=C3=BAltimas_aplicaciones_de_Google?="
"Thu, 10 Mar 2022 23:10:20 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Thu, 3 Mar 2022 17:10:42 -0800","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 9 notificaciones nuevas"
"Tue, 1 Mar 2022 19:45:05 -0400 (VET)",Movistar <infoclientes@telefonica.com>,"=?UTF-8?Q?Con_Movistar_Play_disfruta_de_tus_prog?=
 =?UTF-8?Q?ramas_favoritos_donde_y_como_quieras_=F0=9F=93=B1?="
"Tue, 01 Mar 2022 20:05:28 +0000 (UTC)",Discord <notifications@discord.com>,"=?UTF-8?B?UHLDs3hpbWFz?= actualizaciones de
 =?UTF-8?B?cG9sw610aWNhcw==?= importantes en Discord"
"Fri, 25 Feb 2022 11:14:25 -0800","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 8 notificaciones nuevas"
"Wed, 23 Feb 2022 18:36:02 -0800","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 8 notificaciones nuevas"
"Sat, 19 Feb 2022 18:44:45 -0800","""Facebook"" <reminders@facebookmail.com>","Jairo, tienes 7 notificaciones nuevas"
"Mon, 7 Feb 2022 13:05:41 +0000",MEGA <noreply@mega.nz>,=?utf-8?B?wqFNRUdBIHRlIGVjaGEgZGUgbWVub3Mh?=
"Mon, 24 Jan 2022 21:22:58 -0500",<atencionenlinea@movistar.com.pe>,Confirma tu Registro
"Mon, 24 Jan 2022 18:31:13 -0800",Google <no-reply@google.com>,"=?UTF-8?Q?=E2=9C=85_Jairo=2C_termina_de_configurar_tu_iPhone_23_con_la?=
	=?UTF-8?Q?s_=C3=BAltimas_aplicaciones_de_Google?="
"Tue, 25 Jan 2022 02:30:07 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Mon, 24 Jan 2022 18:26:46 -0800",The Google team <google-noreply@google.com>,"=?UTF-8?Q?Jairo=3A_el_siguiente_paso_que_debes_realizar_en_tu_Wi?=
	=?UTF-8?Q?ndows_es_confirmar_la_configuraci=C3=B3n_de_tu_cuenta_de_Google?="
"Tue, 25 Jan 2022 02:25:39 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Sun, 09 Jan 2022 04:55:04 +0000 (UTC)",Spotify <no-reply@spotify.com>,"=?UTF-8?B?8J+RgCDDmmx0aW1h?= oportunidad para acceder a Tu 2021 en
 Spotify  =?UTF-8?B?8J+RgA==?="
"Wed, 5 Jan 2022 23:30:14 +0000",MEGA <noreply@mega.nz>,=?utf-8?B?wqFNRUdBIHRlIGVjaGEgZGUgbWVub3Mh?=
"Wed, 08 Dec 2021 23:42:53 +0000 (UTC)",Spotify <no-reply@spotify.com>,Compra productos de Tu 2021 en Spotify
"Tue, 07 Dec 2021 16:00:01 +0000 (UTC)",Spotify <no-reply@spotify.com>,"Accede a =?UTF-8?B?bcOhcyBkZSBUdSBhw7Fv?= en Spotify con las
 playlists de =?UTF-8?B?RnVzacOzbg==?="
"Fri, 3 Dec 2021 21:24:05 +0000",MEGA <noreply@mega.nz>,=?utf-8?B?wqFNRUdBIHRlIGVjaGEgZGUgbWVub3Mh?=
"Thu, 02 Dec 2021 17:10:21 +0000 (UTC)",Spotify <no-reply@spotify.com>,Tu 2021 en Spotify ya =?UTF-8?B?ZXN0w6EgYXF1w60=?=
"Mon, 29 Nov 2021 14:17:49 -0800",Google <noreply-utos@google.com>,"=?UTF-8?Q?Obt=C3=A9n_m=C3=A1s_informaci=C3=B3n_sobre_nuestros_T=C3=A9rminos_de?=
	=?UTF-8?Q?l_Servicio_actualizados?="
"Sun, 28 Nov 2021 10:50:25 -0800",YouTube <no-reply@youtube.com>,=?UTF-8?Q?Cambios_en_los_T=C3=A9rminos_del_Servicio_de_YouTube=0D=0A?=
"Fri, 19 Nov 2021 15:43:53 +0000 (UTC)",Spotify <no-reply@spotify.com>,=?UTF-8?B?wqFUdSAyMDIxIHlhIGNhc2kgZXN0w6EgYXF1w60h?=
"Tue, 9 Nov 2021 13:36:29 +0000",MEGA <notification@mega.nz>,Ha caducado un logro de MEGA
"Mon, 08 Nov 2021 15:55:33 +0000 (UTC)",Spotify <no-reply@spotify.com>,=?UTF-8?B?wqFZYQ==?= casi llega Tu 2021!
"Mon, 25 Oct 2021 15:37:58 +0000","""Pinto Bonilla, Geymy Julissa"" <PINTOB1@mapfre.com.pe>",=?utf-8?B?SU5GT1JNQUNJw5JOIElNUE9SVEFOVEUgREUgU0VHVVJPUyBNQVBGUkU=?=
"Sun, 24 Oct 2021 15:02:04 -0500","""Fasting Shape"" <guido@fastingshape.com>","=?utf-8?Q?Fastero_=E2=80=94_Conoc=C3=A9_a_Nicol=C3=A1s_Lucero_(?=
 =?utf-8?Q?M=C3=A9dico_que_incluso_con_sus_horarios_construy=C3=B3_un_nuevo_cue?=
 =?utf-8?Q?rpo_en_8_meses)?="
"Wed, 13 Oct 2021 12:13:24 -0500","""Fasting Shape"" <guido@fastingshape.com>","=?utf-8?Q?Fastero_=E2=80=94_Descubr=C3=AD_c=C3=B3mo_ayud=C3=A9_?=
 =?utf-8?Q?a_Tom=C3=A1s_a_conseguir_este_cuerpo_en_5_meses?="
"Thu, 30 Sep 2021 12:02:23 -0500","""Fasting Shape"" <guido@fastingshape.com>",=?utf-8?Q?=C3=9Altimas_6_horas_de_la_promoci=C3=B3n_primavera?=
"Wed, 29 Sep 2021 17:05:43 -0500","""Fasting Shape"" <guido@fastingshape.com>","=?utf-8?Q?Fastero_=E2=80=94_Descubr=C3=AD_lo_que_3_meses_pueden?=
 =?utf-8?Q?_hacer_por_tu_cuerpo_(+testimonio)?="
"Tue, 28 Sep 2021 15:33:42 -0500","""Fasting Shape"" <guido@fastingshape.com>","=?utf-8?Q?Fastero_=E2=80=94_Conoc=C3=A9_a_Lucas_(de_dieta_estri?=
 =?utf-8?Q?cta_al_m=C3=A9todo_fastero)?="
"Mon, 27 Sep 2021 15:31:27 -0500","""Fasting Shape"" <guido@fastingshape.com>","=?utf-8?Q?Fastero_=E2=80=94_Etapa_de_definici=C3=B3n_para_el_ve?=
 =?utf-8?Q?rano=3F?="
"Wed, 14 Jul 2021 08:48:46 -0500","""Fasting Shape"" <guido@fastingshape.com>","=?utf-8?Q?Promo_Calistenia_Progresiva_2.0_(V=C3=A1lido_por_72hs?=
 =?utf-8?Q?)?="
"Thu, 24 Jun 2021 13:44:04 +0000","""Rappi"" <rappi@hello.rappi.com.mx>",Semana da Farmacia 
"Thu, 13 May 2021 13:28:30 +0000",MEGA <welcome@mega.nz>,=?utf-8?B?w5psdGltbyBwYXNvIHBhcmEgYWN0aXZhciB0dSBjdWVudGEgZGUgTUVHQQ==?=
"Thu, 6 May 2021 04:17:48 +0000","""CHAVEZ MONROY, ARTHUR JEREMY"" <achavezm@fmi.com>",Convenio
"Sat, 24 Apr 2021 03:40:36 +0000 (UTC)","""Spotify"" <no-reply@spotify.com>",=?UTF-8?B?VGllbmVzIG3DunNpY2EgbnVldmEgZGUgTWFsdW1hIHkgZGUgb3Ryb3MgYXJ0aXN0YXMgcXVlIHRlIGVuY2FudGFuIGVuIHR1IA==?= =?UTF-8?B?UmFkYXIgZGUgTm92ZWRhZGVzLg==?=
"Fri, 9 Apr 2021 18:53:09 +0000",=?iso-8859-1?Q?NU=D1EZ_SOBENES=2C_RENATA?= <rnunezso@fmi.com>,=?iso-8859-1?Q?Capacitaci=F3n_Virtual_-_Microsoft_Teams?=
"Thu, 8 Apr 2021 15:57:22 +0000",=?iso-8859-1?Q?NU=D1EZ_SOBENES=2C_RENATA?= <rnunezso@fmi.com>,=?iso-8859-1?Q?Capacitaci=F3n_Virtual_-_Microsoft_Teams?=
"Wed, 7 Apr 2021 05:37:19 +0000","""CHAVEZ MONROY, ARTHUR JEREMY"" <achavezm@fmi.com>","
 =?iso-8859-1?Q?Firma_de_Convenio_de_Pr=E1cticas_-_SOCIEDAD_MINERA_CERRO_V?=
 =?iso-8859-1?Q?ERDE?="
"Mon, 5 Apr 2021 20:32:01 +0000","""BUSTINZA ALBARRACIN, ANDREA CECILIA"" <abustinz@fmi.com>",=?iso-8859-1?Q?Inducci=F3n_Programa_de_Becarios_2021?=
"Mon, 5 Apr 2021 12:35:14 +0000","""CHAVEZ MONROY, ARTHUR JEREMY"" <achavezm@fmi.com>","
 =?utf-8?B?SW5kdWNjacOzbiBHZW5lcmFsIGRlIFNlZ3VyaWRhZCAtIFNNQ1YgQmVjYXJp?=
 =?utf-8?Q?os_2021?="
"Sun, 4 Apr 2021 23:58:59 +0000","""CHAVEZ MONROY, ARTHUR JEREMY"" <achavezm@fmi.com>","
 =?utf-8?B?SW5kdWNjacOzbiBHZW5lcmFsIGRlIFNlZ3VyaWRhZCAtIFNNQ1YgQmVjYXJp?=
 =?utf-8?Q?os_2021?="
"Tue, 30 Mar 2021 19:46:54 +0000",Tecsup Virtual <notifications@instructure.com>,PRUEBA DE ENTRADA PARA INGRESANTES (SEDE LIMA): TECSUP
"Tue, 30 Mar 2021 18:20:11 +0000","""CHAVEZ MONROY, ARTHUR JEREMY"" <achavezm@fmi.com>",Bienvenido - Programa de Becarios 2021 - Sociedad Minera Cerro Verde
"Mon, 15 Mar 2021 14:48:56 +0000","""CHAVEZ MONROY, ARTHUR JEREMY"" <achavezm@fmi.com>",=?iso-8859-1?Q?Evaluaci=F3n_Medica_(LIMA)_-_SMCV?=
"Tue, 19 Jan 2021 23:51:27 +0000",CVE - Seleccion de Personal <_72b00@fmi.com>,"
 =?iso-8859-1?Q?Invitaci=F3n_a_Etapa_de_Entrevista_-_Programa_de_Becarios_?=
 =?iso-8859-1?Q?2021_Cerro_Verde?="
"Sat, 16 Jan 2021 16:19:37 +0000",Tecsup Virtual <notifications@instructure.com>,Notificaciones recientes de Canvas
"Sat, 09 Jan 2021 04:11:19 +0000 (UTC)",Becarios SMCV <becarios_cerroverde@tecsup.edu.pe>,"Proceso de =?UTF-8?B?U2VsZWNjacOzbg==?= de Becarios de Sociedad
 Minera Cerro Verde"
"Fri, 08 Jan 2021 22:00:00 +0000 (UTC)","""Spotify"" <no-reply@spotify.com>",=?UTF-8?B?VGllbmVzIG3DunNpY2EgbnVldmEgZGUgTWFudWVsIFR1cml6byB5IGRlIG90cm9zIGFydGlzdGFzIHF1ZSB0ZSBlbmNhbnRhbg==?= =?UTF-8?B?IGVuIHR1IFJhZGFyIGRlIE5vdmVkYWRlcy4=?=
"Thu, 7 Jan 2021 19:37:11 +0000",Tecsup Virtual <notifications@instructure.com>,=?UTF-8?Q?Invitaci=C3=B3n_al_curso?=
"Tue, 5 Jan 2021 22:50:05 +0000",Tecsup Virtual <notifications@instructure.com>,=?UTF-8?Q?Invitaci=C3=B3n_al_curso?=
"Tue, 05 Jan 2021 04:40:18 +0000 (UTC)",Becarios SMCV <becarios_cerroverde@tecsup.edu.pe>,"Proceso de =?UTF-8?B?U2VsZWNjacOzbg==?= de Becarios de Sociedad
 Minera Cerro Verde"
"Mon, 4 Jan 2021 23:02:40 +0000",CVE - Seleccion de Personal <_72b00@fmi.com>,Programa de Becarios 2021 - SMCV
